Name,Link,Description,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23
Intro to MCP,https://pages.github.corp.ebay.com/DevGenAI/ebay-mcp/docs/intro/,,,,,,,,,,,,,,,,,,,,,,,,
MCP Servers Tracker ,https://ebay.enterprise.slack.com/lists/T025756QT/F08MTB8R7UL,Lists internally created MCP's at eBay,,,,,,,,,,,,,,,,,,,,,,,
eBay MCP servers,https://github.corp.ebay.com/DevGenAI/ebay-mcp,,,,,,,,,,,,,,,,,,,,,,,,
Figma Dev Mode MCP Server,https://help.figma.com/hc/en-us/articles/32132100833559-Guide-to-the-Dev-Mode-MCP-Server,,,,,,,,,,,,,,,,,,,,,,,,
MCP Catalog ( Remote ) ,https://pages.github.corp.ebay.com/raptor-io-apps/mcpconnect/mcp-catalog.html,,,,,,,,,,,,,,,,,,,,,,,,
